Species,Weight,Height,Width,Length
Perch,900.0,11.73,7.225,39.833333333333336
Perch,1015.0,12.3808,7.4624,39.8
Perch,820.0,11.135,6.63,39.86666666666667
Perch,1100.0,12.8002,6.8684,41.86666666666667
Perch,1000.0,11.9328,7.2772,42.66666666666666
Perch,1100.0,12.5125,7.4165,42.86666666666667
Perch,1000.0,12.604,8.142,43.23333333333333
Perch,1000.0,12.4888,7.5958,43.9
Pike,200.0,5.568,3.3756,32.36666666666667
Pike,300.0,5.7078,4.158,34.5
Pike,300.0,5.9364,4.3844,35.5
Pike,300.0,6.2884,4.0198,37.3
Pike,430.0,7.29,4.5765,38.0
Pike,345.0,6.396,3.977,38.5
Pike,456.0,7.28,4.3225,42.66666666666666
Pike,510.0,6.825,4.459,42.66666666666666
Pike,540.0,7.786,5.1296,42.96666666666666
Pike,500.0,6.96,4.896,45.0
Pike,567.0,7.792,4.87,45.96666666666667
Pike,770.0,7.68,5.376,48.0
Pike,950.0,8.9262,6.1712,51.7
Pike,1250.0,10.6863,6.9849,55.9
Pike,1600.0,9.6,6.144,60.0
Pike,1550.0,9.6,6.144,60.0
Pike,1650.0,10.812,7.48,63.46666666666667
Smelt,6.7,1.7388,1.0476,9.966666666666669
Smelt,7.5,1.972,1.16,10.7
Smelt,7.0,1.7284,1.1484,10.766666666666666
Smelt,9.7,2.196,1.38,11.133333333333333
Smelt,9.8,2.0832,1.2772,11.433333333333332
Smelt,8.7,1.9782,1.2852,11.566666666666668
Smelt,10.0,2.2139,1.2838,12.066666666666668
Smelt,9.9,2.2139,1.1659,12.066666666666668
Smelt,9.8,2.2044,1.1484,12.199999999999998
Smelt,12.2,2.0904,1.3936,12.366666666666667
Smelt,13.4,2.43,1.269,12.533333333333331
Smelt,12.2,2.277,1.2558,12.966666666666669
Smelt,19.7,2.8728,2.0672,14.233333333333334
Smelt,19.9,2.9322,1.8792,15.0
